key,ky_latin,ky_kiril,en,tr,kz,az,ru
keyboardDesign,"Basqıçtoptun jasalğası, könüü jana qoldonuu oñoy bolušu üčün, demeyki qwerty basqıçtopton köçürülgön.","Баскычтоптун жасалгасы, көнүү жана колдонуу оңой болуш үчүн, демейки qwerty баскычтоптон көчүрүлгөн,","The keyboard design is based on the default QWERTY layout for ease of use and adaptation.","Klavye tasarımı, kullanım kolaylığı için varsayılan QWERTY düzeninden uyarlanmıştır.","Пернетақта дизайны ыңғайлы болу үшін әдепкі qwerty пернетақтасынан алынған. Алтай нұсқасы.","Klaviatura dizaynı istifadə asanlığı üçün standart QWERTY düzümündən uyğunlaşdırılmışdır. Altay variantı.","Дизайн клавиатуры создан на основе стандартной QWERTY для удобства использования и адаптации. Алтайский вариант."
shiftButton,"Bir ğana basqıç özgöçö - bul Shift basqıçı. Demeyde, Shift basqıçı çoñ / kiçi tamğalardı oodarsa, Şoqtuq Bitikte qatuu / jumşaq tamğalardı oodarat.","Бир гана баскыч өзгөчө - бул Shift баскычы. Демейде, Shift баскычы чоң / кичи тамгаларды оодарса, Şoqtuq Bitikте катуу / жумшак тамгаларды оодарат.","Only one key is special - the Shift key. Normally, Shift changes between uppercase and lowercase, but in Şoqtuq Bitik it switches between hard and soft letters.","Sadece bir tuş özeldir - Shift tuşu. Normalde Shift büyük/küçük harfleri değiştirir, ancak Şoqtuq Bitik'te sert/yumuşak harfleri değiştirir.","Бір ғана батырма ерекше - бұл Shift батырмасы. Әдетте Shift бас әріп пен кіші әріпті ауыстырса, Şoqtuq Bitikte қатты мен жұмсақ дыбыстарды ауыстырады.","Yalnız bir düymə xüsusidir - Shift düyməsi. Adətən Shift böyük/kiçik hərfləri dəyişdirir, amma Şoqtuq Bitikdə sərt/yumşaq hərfləri dəyişdirir.","Особая клавиша - Shift. Обычно она переключает между прописными и строчными буквами, но в Şoqtuq Bitik она меняет твёрдые и мягкие согласные."
standartColorsConsonants,"Demeyki tüstüülör - ünsüzdör.","Демейки түстүүлөр - үнсүздөр.","Default colors - consonants.","Varsayılan renkler ünsüzleri gösterir.","Әдепкі түстер - дауыссыздар.","Standart rənglər - samitlər.","Цвета по умолчанию обозначают согласные."
blueColorIsVowels,"Kök tüstüülör - ündüülör.","Көк түстүүлөр - үндүүлөр.","Blue colors - vowels.","Mavi renkler ünlüleri gösterir.","Көк түстер - дауыстылар.","Göy rənglər - saitlər.","Синие цвета обозначают гласные."
redIsSpecialLetters,"Qızğılt tüstüülör - atayın tamğalar.","Кызгылт түстүүлөр - атайын тамгалар.","Pink colors - special letters.","Pembe renkler özel harfleri gösterir.","Қызғылт түстер - арнайы әріптер.","Çəhrayı rənglər - xüsusi hərflər.","Розовые цвета обозначают специальные буквы."
disablingTheColoring,"Tüstöönü jöndöödo öçürsö bolot.","Түстөөнү жөндөөдө өчүрсө болот.","Coloring can be disabled in the settings.","Renklendirme ayarlardan kapatılabilir.","Түстерді баптауларда өшіруге болады.","Rəngləməni tənzimləmələrdə söndürmək olar.","Окрашивание можно отключить в настройках."
secondLetterVariantsOnHold,"Tamğalardın ekinçi varianttarın basış üčün, üstündö sızıgı bar tamğalardı basıp turuñuz.","Тамганын экинчи варианттарын басыш үчүн, үстүндө сызыгы бар тамганы басып туруңуз.","To access a letter's second variants, press and hold keys that has an overline.","Harflerin ikinci varyantlarını görmek için üzerinde çizgi olan harfe basılı tutun.","Әріптің екінші нұсқаларын көру үшін үстінде сызығы бар әріпті басып тұрыңыз.","Hərfin ikinci variantlarını görmək üçün üstündə xətti olan hərfi basılı saxlayın.","Чтобы открыть вторые варианты букв, нажмите и удерживайте символ с надчеркиванием."
noNeedToChangeShiftInOneWord,"99% uçurda, bir söz jazuuda qatuu / jumşaq oodaruu kerek emes. Sözdö AUOI ündüülör bolso - sözüñüz qatuu. EÜÖİ bolso - jumşaq. Sözdü jazıp bütmöyünçö shift basuu kerek emes. ","99% учурда, бир сөз жазууда катуу / жумшак оодаруу керек эмес. Сөздө АУОЫ үндүүлөр болсо - сөзүңүз катуу. ЭЕҮӨИ болсо - жумшак. Сөздү жазып бүтмөйүнчө шифт басуу керек эмес.","In 99% of cases, you don’t need to switch hard / soft while typing a single word. If the word contains AUOI vowels, it’s hard; if it has EÜÖİ, it’s soft. You don’t need to press Shift until you finish the word.","Vaka­ların %99’unda, bir kelime yazarken sert/yumuşak değiştirmeye gerek yoktur. Eğer kelimede AUOI ünlüleri varsa serttir; EEÜÖI varsa yumuşaktır. Kelimeyi bitirene kadar Shift’e basmaya gerek yoktur.","99% жағдайда бір сөз жазғанда қатты/жұмсақ ауыстырудың қажеті жоқ. Егер сөзде АУОЫ дауыстылары болса, ол қатты. ЭЕҮӨИ болса, жұмсақ. Сөзді жазып болғанша Shift басудың қажеті жоқ.","Halların 99%-də bir söz yazarkən sərt/yumşaq dəyişdirmək lazım deyil. Əgər sözdə AUOI saitləri varsa, sərtdir; EÜÖİ varsa, yumşaqdır. Sözü bitirənə qədər Shift basmaq lazım deyil.","В 99% случаев при наборе одного слова не нужно переключать твёрдые/мягкие. Если в слове есть гласные АУОЫ - это твёрдое слово. ЭЕҮӨИ - мягкое. Нажимать Shift нужно только после окончания слова."
needToChangeShiftException,"Bötönçö - atayın tamğalar.","Бөтөнчө - атайын тамгалар.","Exception - special letters.","İstisna - özel harfler.","Ерекше - арнайы әріптер.","İstisna - xüsusi hərflər.","Исключение - специальные буквы."
advice,"Keñeş.","Кеңеш.","Tip.","Tavsiye.","Кеңес.","Məsləhət.","Совет."
